,name,price,reserve_met,end_date,Distillery,Age,Vintage,Region,Bottler,Cask Type,Bottled Strength,Bottle Size,Distillery Status,details
5071595,Ben Nevis 10 Year Old pre-2016,60,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
5070442,Port Charlotte 2008 Dramfool 12 Year Old Jim McEwan Signature Collection 3.2,174,,2023-10-04,Bruichladdich,12 Year Old,2008,Islay,Dramfool,First-Fill ex-Bourbon,58.8%,70cl,Operational,"Port Charlotte 2008 Dramfool 12 Year Old Jim McEwan Signature Collection 3.2Founded in 2015, Dramfool is a small independent bottling label created by Bruce Farquhar. Many of these releases have received high praise, and the collection features some interesting distilleries.Despite having come out of retirement to take on a new challenge at Ardnahoe distillery on Islay, his enduring legacy (for the time being at least) is his success in rejuvenating the neighbouring Bruichladdich when it re-opened in 2001. Born on the island, Jim began his career at Bowmore, starting out on 1st August 1963 at the age of 15as an apprentice cooper, he worked his way up to cellar master at the distillery's famous warehouses before moving to Glasgow at the age of 28 to train as a blender for parent company, Morrison Bowmore. After eight years, Jim returned to Islay at the request of Suntory to become its new distillery manager at Bowmore before ending his illustrious 38 year career as an ambassador for not onlyIslay's oldest working distillery, but the island itself. When the offer was made to reopen andmanage the redundantBruichladdich, Jim leapt at the chance toreawaken this mothballed giant, and revitalise both it and its importance to the island. Over the next decade and a half, he helped transform the image of the distillery, breathing new life into its existing stock with a pioneering new wood policy, and reviving the historic tradition of peated single malt production by introducing the Port Charlotte and Octomore brands, and of course, the acclaimed The Botanist gin.It was during his illustrious tenure at Bruichladdich that Jim acquired the private collection of casks that forms this exclusive Dramfool range. Each release will feature a single cask of each of the three Bruichladdich single malts.This whisky was distilled in 2008and aged in first-fill ex-Bourbon cask #3742for 12years. The cask resulted in 233bottles."
5070444,Port Charlotte 2009 Dramfool 11 Year Old Jim McEwan Signature Collection 4.2,284,,2023-10-04,Bruichladdich,11 Year Old,2009,Islay,Dramfool,first-fill Juracon Barrique,61.4%,70cl,Operational,"Port Charlotte 2009 Dramfool 11 Year Old Jim McEwan Signature Collection 4.2Founded in 2015, Dramfool is a small independent bottling label created by Bruce Farquhar. Many of these releases have received high praise, and the collection features some interesting distilleries.Despite having come out of retirement to take on a new challenge at Ardnahoe distillery on Islay, his enduring legacy (for the time being at least) is his success in rejuvenating the neighbouring Bruichladdich when it re-opened in 2001. Born on the island, Jim began his career at Bowmore, starting out on 1st August 1963 at the age of 15as an apprentice cooper, he worked his way up to cellar master at the distillery's famous warehouses before moving to Glasgow at the age of 28 to train as a blender for parent company, Morrison Bowmore. After eight years, Jim returned to Islay at the request of Suntory to become its new distillery manager at Bowmore before ending his illustrious 38 year career as an ambassador for not onlyIslay's oldest working distillery, but the island itself. When the offer was made to reopen andmanage the redundantBruichladdich, Jim leapt at the chance toreawaken this mothballed giant, and revitalise both it and its importance to the island. Over the next decade and a half, he helped transform the image of the distillery, breathing new life into its existing stock with a pioneering new wood policy, and reviving the historic tradition of peated single malt production by introducing the Port Charlotte and Octomore brands, and of course, the acclaimed The Botanist gin.It was during his illustrious tenure at Bruichladdich that Jim acquired the private collection of casks that forms this exclusive Dramfool range. Each release will feature a single cask of each of the three Bruichladdich single malts.This whisky was distilled in 2009 and aged for 11 years in single first-fill Juracon Barrique #1061.One of 271 bottles."
5070448,Port Charlotte 2007 Dramfool 13 Year Old Jim McEwan Signature Collection 1.2,232,,2023-10-04,Bruichladdich,13 Year Old,2007,Islay,Dramfool,First-fill ex-Bordeaux,60.9%,70cl,Operational,"Port Charlotte 2007 Dramfool 13 Year Old Jim McEwan Signature Collection 1.2Founded in 2015, Dramfool is a small independent bottling label created by Bruce Farquhar. Many of these releases have received high praise, and the collection features some interesting distilleries.Despite having come out of retirement to take on a new challenge at Ardnahoe distillery on Islay, his enduring legacy (for the time being at least) is his success in rejuvenating the neighbouring Bruichladdich when it re-opened in 2001. Born on the island, Jim began his career at Bowmore, starting out on 1st August 1963 at the age of 15as an apprentice cooper, he worked his way up to cellar master at the distillery's famous warehouses before moving to Glasgow at the age of 28 to train as a blender for parent company, Morrison Bowmore. After eight years, Jim returned to Islay at the request of Suntory to become its new distillery manager at Bowmore before ending his illustrious 38 year career as an ambassador for not onlyIslay's oldest working distillery, but the island itself. When the offer was made to reopen andmanage the redundantBruichladdich, Jim leapt at the chance toreawaken this mothballed giant, and revitalise both it and its importance to the island. Over the next decade and a half, he helped transform the image of the distillery, breathing new life into its existing stock with a pioneering new wood policy, and reviving the historic tradition of peated single malt production by introducing the Port Charlotte and Octomore brands, and of course, the acclaimed The Botanist gin.It was during his illustrious tenure at Bruichladdich that Jim acquired the private collection of casks that forms this exclusive Dramfool range. Each release will feature a single cask of each of the three Bruichladdich single malts.Release number one pays a fitting tribute to Jim's use of exceptional quality wine casks to revitalise the old Whyte & Mackay-distilled stock when he took charge at the distillery twenty years ago. They had such an influence that their use is now a cornerstone of Bruichladdich production.This 2007 vintage Port Charlotte single malt was aged for 13 years in a first-fill Bordeaux red wine cask and bottled in February 2021. The cask originally held wine from an ancient vineyard whose recorded history goes back to the Roman times and is recorded planting vines in 1423.""One of my top creations for sure""-Jim McEwanThe cask was made by internationally renowned Bordeaux cooperage Maison Demptos. A family business with over 200 years’ experience they have created the unique Bordeaux barrel used by many, if not all, of the top wine producing chateaux in the area.One of 299 bottles."
5070449,Bruichladdich 2007 Dramfool 13 Year Old Jim McEwan Signature Collection 1.1,232,,2023-10-04,Bruichladdich,13 Year Old,2007,Islay,Dramfool,see lot description,61.8%,70cl,Operational,"Bruichladdich 2007 Dramfool 13 Year Old Jim McEwan Signature Collection 1.1Founded in 2015, Dramfool is a small independent bottling label created by Bruce Farquhar. Many of these releases have received high praise, and the collection features some interesting distilleries.Despite having come out of retirement to take on a new challenge at Ardnahoe distillery on Islay, his enduring legacy (for the time being at least) is his success in rejuvenating the neighbouring Bruichladdich when it re-opened in 2001. Born on the island, Jim began his career at Bowmore, starting out on 1st August 1963 at the age of 15as an apprentice cooper, he worked his way up to cellar master at the distillery's famous warehouses before moving to Glasgow at the age of 28 to train as a blender for parent company, Morrison Bowmore. After eight years, Jim returned to Islay at the request of Suntory to become its new distillery manager at Bowmore before ending his illustrious 38 year career as an ambassador for not onlyIslay's oldest working distillery, but the island itself. When the offer was made to reopen andmanage the redundantBruichladdich, Jim leapt at the chance toreawaken this mothballed giant, and revitalise both it and its importance to the island. Over the next decade and a half, he helped transform the image of the distillery, breathing new life into its existing stock with a pioneering new wood policy, and reviving the historic tradition of peated single malt production by introducing the Port Charlotte and Octomore brands, and of course, the acclaimed The Botanist gin.It was during his illustrious tenure at Bruichladdich that Jim acquired the private collection of casks that forms this exclusive Dramfool range. Each release will feature a single cask of each of the three Bruichladdich single malts.Release number one pays a fitting tribute to Jim's use of exceptional quality wine casks to revitalise the old Whyte & Mackay-distilled stock when he took charge at the distillery twenty years ago. They had such an influence that their use is now a cornerstone of Bruichladdich production.This 2007 vintage Bruichladdich single malt was aged for 13 years in a first-fill Bordeaux red wine cask and bottled in February 2021. The chateau being one of only four to be awarded the Premier Cru (First Growth) status in the 1855 Official Classification.One of 265 bottles."
5070451,Bruichladdich 2009 Dramfool 11 Year Old Jim McEwan Signature Collection 4.1,222,,2023-10-04,Bruichladdich,11 Year Old,2009,Islay,Dramfool,first-fill Bordeaux,61.3%,70cl,Operational,"Bruichladdich 2009 Dramfool 11 Year Old Jim McEwan Signature Collection 4.1Founded in 2015, Dramfool is a small independent bottling label created by Bruce Farquhar. Many of these releases have received high praise, and the collection features some interesting distilleries.Despite having come out of retirement to take on a new challenge at Ardnahoe distillery on Islay, his enduring legacy (for the time being at least) is his success in rejuvenating the neighbouring Bruichladdich when it re-opened in 2001. Born on the island, Jim began his career at Bowmore, starting out on 1st August 1963 at the age of 15as an apprentice cooper, he worked his way up to cellar master at the distillery's famous warehouses before moving to Glasgow at the age of 28 to train as a blender for parent company, Morrison Bowmore. After eight years, Jim returned to Islay at the request of Suntory to become its new distillery manager at Bowmore before ending his illustrious 38 year career as an ambassador for not onlyIslay's oldest working distillery, but the island itself. When the offer was made to reopen andmanage the redundantBruichladdich, Jim leapt at the chance toreawaken this mothballed giant, and revitalise both it and its importance to the island. Over the next decade and a half, he helped transform the image of the distillery, breathing new life into its existing stock with a pioneering new wood policy, and reviving the historic tradition of peated single malt production by introducing the Port Charlotte and Octomore brands, and of course, the acclaimed The Botanist gin.It was during his illustrious tenure at Bruichladdich that Jim acquired the private collection of casks that forms this exclusive Dramfool range. Each release will feature a single cask of each of the three Bruichladdich single malts.This whisky was distilled in 2009 and aged in single first-fill Bordeaux cask #4180 for 11 years.One of 264 bottles."
5079478,Springbank 1994 Private Sherry Cask 25 Year Old #30,654,,2023-10-04,Springbank,25 Year Old,1994,Campbeltown,Official / Private,Refill Sherry,46.6%,70cl,Operational,"Springbank 1994 Private Sherry Cask 25 Year Old #30Springbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This whisky was distilled on 18th November 1994 and aged for 25 years in refill ex-Sherry cask #30."
5079505,Springbank 1994 Private Sherry Cask 25 Year Old #31,844,,2023-10-04,Springbank,25 Year Old,1994,Campbeltown,Official / Private,Refill Sherry,50.4%,70cl,Operational,"Springbank 1994 Private Sherry Cask 25 Year Old #31Springbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This whisky was distilled on 18th November 1994 and aged for 25 years in refill ex-Sherry cask #31."
5083104,Springbank 1998 Private Cask 20 Year Old #378,450,,2023-10-04,Springbank,20 Year Old,1998,Campbeltown,Official / private,bourbon,53.6%,70cl,Operational,"Springbank 1998 Private Cask 20 Year Old #378Springbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This is aprivate single cask.The whisky was distilled in 1998 and placed into cask #378 for 20 years.One of 212 bottles filled at cask strength in 2019."
5087593,Filey Bay First Release,250,,2023-10-04,Spirit of Yorkshire,,,England,Offical,,46%,70cl,Operational,"Filey Bay First ReleaseThe very first release of Yorkshire's very first single malt.Distilled in 2016 into 16 casks yielding just 6,000 bottles."
5087591,Spirit of Yorkshire 1 Year Old Maturing Malt / Distillery Projects 001,140,,2023-10-04,Spirit of Yorkshire,1 Year,N/A,England,Offical,N/A,46%,70cl,Operational,"Spirit of Yorkshire 1 Year Old Maturing Malt / Distillery Projects 001The very first release from Yorkshire's very first whisky distillery.Bottled at the tender age of a single year, one of only 2000 released."
5087589,Spirit of Yorkshire Maturing Malt / Distillery Projects 002,70,,2023-10-04,Spirit of Yorkshire,N/A,N/A,England,Offical,See Lot Description,46%,70cl,Operational,"Spirit of Yorkshire Maturing Malt / Distillery Projects 002Release 002from the Spirit of Yorkshire Distillery. This whisky has been aged in a combination of ex-Bourbon, ex-Sherry and ex-Red Wine casks.One of 2,000 bottles."
5087587,Spirit of Yorkshire Maturing Malt / Distillery Projects 003,70,,2023-10-04,Spirit of Yorkshire,N/A,N/A,England,Offical,See Lot Description,46%,70cl,Operational,"Spirit of Yorkshire Maturing Malt / Distillery Projects 004Release 004 from the Spirit of Yorkshire Distillery. This whisky has been aged in a combination of ex-Bourbon, Ex-Pedro Ximenez sherry casks and ex-Red Wine casks.One of 2,000 bottles."
5087594,Spirit of Yorkshire Maturing Malt / Distillery Projects 004,70,,2023-10-04,Spirit of Yorkshire,N/A,N/A,England,Offical,See Lot Description,46%,70cl,Operational,"Spirit of Yorkshire Maturing Malt / Distillery Projects 004Release 004 from the Spirit of Yorkshire Distillery. This whisky has been aged in a combination of ex-Bourbon and ex-Red Wine casks.One of 2,000 bottles."
5087592,Spirit of Yorkshire 2016 Single Cask Maturing Malt #109 50cl / Distillery Projects 005,130,,2023-10-04,Spirit of Yorkshire,N/A,2016,England,Offical,STR,46%,50cl,Operational,Spirit of Yorkshire 2016 Single Cask Maturing Malt #109 50cl / Distillery Projects 005Release 005from the Spirit of Yorkshire Distillery. This whisky was distilled in 2016 and laid to rest in STRcask #109before being bottled in June 2019.One of 544 bottles.
5087590,Spirit of Yorkshire 2016 Single Cask Maturing Malt #104 50cl / Distillery Projects 006,70,,2023-10-04,Spirit of Yorkshire,N/A,2016,England,Offical,ex-Fino Sherry,46%,50cl,Operational,"Spirit of Yorkshire 2016 Single Cask Maturing Malt #104 50cl / Distillery Projects 006Release 006from the Spirit of Yorkshire Distillery. This whisky was distilled in 2016 and laid to rest in ex-Fino Sherry cask #104 before being bottled in June 2019.One of 1,142 bottles."
6145461,Springbank 2011 Local Barley 10 Year Old,266,,2023-10-04,Springbank,10 Year Old,2011,Campbeltown,Official,N/A,51.6%,70cl,Operational,"Springbank 2011 Local Barley 10 Year OldSpringbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This is one of a select number of releases produced using malted barley harvested from neighbouring farms in the Campbeltown area. They were first introduced in the late 1990s, and were eventually re-named as the Local Barley series in the 2000s.This is the 2021 release of the mid-2010srevivalof the Local Barley range. Originally intended to be a 5 part series, which would have made this the last, but this is instead now being marketed as an annual release.Distilled in May 2011 and bottled in December 2021, the 'local barley' comes from the varietal, Belgravia,and was grown in Campbeltown at the Glencraigs Farm.Limited to only 15000 bottles."
5090496,Macallan Concept Number 2 / Music,170,,2023-10-04,Macallan,,,Speyside,Official,Sherry-seasoned casks / ex-Bourbon barrels.,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5090494,Macallan Concept Number 2 / Music,160,,2023-10-04,Macallan,,,Speyside,Official,Sherry-seasoned casks / ex-Bourbon barrels.,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5090492,Macallan Concept Number 2 / Music,160,,2023-10-04,Macallan,,,Speyside,Official,Sherry-seasoned casks / ex-Bourbon barrels.,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5090587,Macallan The Harmony Collection / Fine Cacao,410,,2023-10-04,Macallan,,,Speyside,Official,ex-Sherry American and European oak,40%,70cl,Operational,"Macallan The Harmony Collection / Fine CacaoReleased in May 2022,FineCacaois the secondin an annual series from Macallan titledThe Harmony Collection. The project is spearheaded by the distilleries efforts to focus on sustainability.It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Fine Cacao is a collaboration between Macallan Whisky Maker Polly Logan and pastry chef Jordi Roca of three Michelin star restaurant El Celler de Can Roca. Jordi is also the owner of the famed chocolate boutique, Casa Cacao and in 2018 was voted""World's Best Pastry Chef""by Restaurant Magazine. Working alongside Jordi, Polly studied the techniques ofchocolate making andwould go on to create this whiskyas aperfect pairing forhigh-quality chocolate. The whisky has been 100% aged in aex-Sherry American and European oak casks.By focusing on sustainable packaging, Fine Cacao is presented in a 100% recyclable and biodegradable box and the bottle features labels that have also been recycled. These include:Front & Back Label -Made from 15% organic cacao shell, 40% post-consumer waste, 45% FSC virgin fibre.Shoulder Label -Made from virgin fibre 100% - FSC certified.Outer Box Wrap -15% organic cacao shell, 1% Miscantheses (to provide texture), 40% post-consumer waste, 44% virgin fibre.Box Ribbon -The ribbon is made from 81% virgin wood pulp (necessary for strength/durability), 12.5% ink, 6% bonding agents. The wood pulp is FSC certified and is virgin material.Fine Cacao premiered at The Macallan Airport Boutiques from May 2022, before being made available to global travel retailers from June 2022."
5090585,Macallan The Harmony Collection / Fine Cacao,430,,2023-10-04,Macallan,,,Speyside,Official,ex-Sherry American and European oak,40%,70cl,Operational,"Macallan The Harmony Collection / Fine CacaoReleased in May 2022,FineCacaois the secondin an annual series from Macallan titledThe Harmony Collection. The project is spearheaded by the distilleries efforts to focus on sustainability.It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Fine Cacao is a collaboration between Macallan Whisky Maker Polly Logan and pastry chef Jordi Roca of three Michelin star restaurant El Celler de Can Roca. Jordi is also the owner of the famed chocolate boutique, Casa Cacao and in 2018 was voted""World's Best Pastry Chef""by Restaurant Magazine. Working alongside Jordi, Polly studied the techniques ofchocolate making andwould go on to create this whiskyas aperfect pairing forhigh-quality chocolate. The whisky has been 100% aged in aex-Sherry American and European oak casks.By focusing on sustainable packaging, Fine Cacao is presented in a 100% recyclable and biodegradable box and the bottle features labels that have also been recycled. These include:Front & Back Label -Made from 15% organic cacao shell, 40% post-consumer waste, 45% FSC virgin fibre.Shoulder Label -Made from virgin fibre 100% - FSC certified.Outer Box Wrap -15% organic cacao shell, 1% Miscantheses (to provide texture), 40% post-consumer waste, 44% virgin fibre.Box Ribbon -The ribbon is made from 81% virgin wood pulp (necessary for strength/durability), 12.5% ink, 6% bonding agents. The wood pulp is FSC certified and is virgin material.Fine Cacao premiered at The Macallan Airport Boutiques from May 2022, before being made available to global travel retailers from June 2022."
5092286,Hibiki Japanese Harmony Ryusui-Hyakka Limited Edition 2021 75cl / US Import,480,1.0,2023-10-04,N/A,N/A,N/A,Japan,Suntory,N/A,43%,75cl,Operational,"Hibiki Japanese Harmony Ryusui-Hyakka Limited Edition 2021 75cl / US ImportRyusui-Hyakka: (Japanese)""One-Hundred Flowers and Flowing Water""Suntory are one of the founding fathers of Japanese whisky, established by Shinjirō Torii in 1899 as a wine store in Osaka. The venture was hugely successful, and the company was renamed Kotobukiya in 1921, which built its first distillery three years later, Yamazaki. The distillery produced both malt and grain whiskies which the company blended together, releasing its first Suntory White Label in 1929, the resulting popularity of which saw the firm renamed after it 1963. Expansion in the next decade saw the company move its grain production to a new Chita distillery in 1972, and open a second malt distillery, Hakushu, the following year. Suntory today has a large stake in both the bourbon and Scotch whisky industry, but remains at the forefront of its native whisky market too.Hibiki is ablend of over ten malts and grains featuring Yamazaki, Hakushu, and Chita all aged in five types of cask. The non-age statement Japanese Harmony was intoriduced in 2015, following the discontinuation of the 12 year old as the entry level to the core range. This limited edition was released in late 2018 to commemorate the 30th anniversary of the first Hibikiblend being released in 1989.As always with Hibiki thebottle always has 24 facets representing the 24 seasons of the Japanese lunar calendar.This limited-edition design was released in the Autumn of 2021 and celebrates the whiskies floral tasting notes."
5092296,Hibiki 12 Year Old Miniature,65,,2023-10-04,N/A,12 Year Old,N/A,Japan,Suntory,N/A,43%,5cl,Operational,"Hibiki 12 Year Old MiniatureSuntory are one of the founding fathers of Japanese whisky, established by Shinjirō Torii in 1899 as a wine store in Osaka. The venture was hugely successful, and the company was renamed Kotobukiya in 1921, which built its first distillery three years later, Yamazaki. The distillery produced both malt and grain whiskies which the company blended together, releasing its first Suntory White Label in 1929, the resulting popularity of which saw the firm renamed after it 1963. Expansion in the next decade saw the company move its grain production to a new Chita distillery in 1972, and open a second malt distillery, Hakushu, the following year. Suntory today has a large stake in both the bourbon and Scotch whisky industry, but remains at the forefront of its native whisky market too.The 12 year old Hibiki was introduced to the range in 2009, but was discontinued in favour of a new non-age statement Japanese Harmony as the entry level product in 2015."
5092300,Bowmore 1995 Single Sherry Cask 26 Year Old #1550,625,0.0,2023-10-04,Bowmore,26 Year Old,1995,Islay,Official,Oloroso Sherry,44.6%,70cl,Operational,"Bowmore 1995 Single Sherry Cask 26 Year Old #1550Islay’s oldest working distillery, Bowmore was established in 1779 and is now regarded as one of the most popular malts not only on Islay, but in the whole of Scotland. The distillery was acquired by Stanley P. Morrison in 1963, ushering in an era of iconic single malts, including the legendary Black Bowmore, credited by many as the genesis of whisky collecting, bottled in 1995. The distillery was bought under the control Suntory the year prior (they had been stakeholders since 1989), and it remains one of the most collectible brands in Scotch whisky today. Bowmore is one of the few remaining Scottish distilleries to use its own floor maltings, providing them with 40% of their requirements.This whisky was distilled in 1995 and aged in single first-fill sherry oloroso cask #1550 for 26 years.One of 485 bottles."
5092947,Bruichladdich 1989 Black Art 21 Year Old Edition 2.2,625,,2023-10-04,Bruichladdich,21 Year Old,1989,Islay,Official,See Lot Description,49.7%,70cl,Operational,"Bruichladdich 1989 Black Art 21 Year Old Edition 2.2Like its island neighbour Bunnahabhain distillery, Bruichladdich has traditionally been an un-peated single malt, mostly owing to its requirements by the blenders who owned it. The last of these was Whyte & Mackay, who eventually shut it down in 1995, deeming it surplus to requirements. They sold the distillery to Murray McDavid in 2001, who launched the peated Port Charlotte and heavily-peated Octomore single malts in 2006 and 2008. A recommissioned Lomond still also now produces the popular Botanist gin there.This is the second Black Art release, distilled in 1989 and bottled as a 21 year old. It was matured in wide variety of American and European oak wines casks."
5092946,Bruichladdich 1986 Blacker Still 20 Year Old,470,,2023-10-04,Bruichladdich,20 Year Old,1986,Islay,Official,Oloroso Sherry,50.7%,70cl,Operational,"Bruichladdich 1986 Blacker Still 20 Year OldLike its island neighbour Bunnahabhain distillery, Bruichladdich has traditionally been an un-peated single malt, mostly owing to its requirements by the blenders who owned it. The last of these was Whyte & Mackay, who eventually shut it down in 1995, deeming it surplus to requirements. They sold the distillery to Murray McDavid in 2001, who launched the peated Port Charlotte and heavily-peated Octomore single malts in 2006 and 2008. A recommissioned Lomond still also now produces the popular Botanist gin there.Bruichladdich released the Blacker Still in 2006, and it was matured exclusively in Oloroso sherry casks for 20 years. This was the first release in the ‘...Still’ series, and quickly became an icon of collectable Bruichladdich.Only 2,840 bottles were produced."
5093047,Glenfiddich 1976 Private Vintage #16392 / La Grande Epicerie,800,,2023-10-04,Glenfiddich,30 Year Old,1976,Speyside,Official,N/A,47.0%,70cl,Operational,"Glenfiddich 1976 Private Vintage #16392 / La Grande EpicerieGlenfiddich was an early advocate of the single malt Scotch category, and their faith is rewarded today by being one of the best-selling Scotch brands in the world. The distillery was built by William Grant in 1886, distilling its first spirit on Christmas day the following year. Today it is still part of the family-owned, William Grant & Sons. They became the first distillery to actively market their single malt brand in 1963, and were the first to open their facility to visitors. Glenfiddich was an important trailblazer in the whisky industry, who's contribution cannot be forgotten. The scale of their operation today is a testament to this.ThePrivate Vintagecollection from Glenfiddich is a selection of single cask bottlings, produced between 2001and 2008. Each cask was exclusively selected for andbottled for a varietyof private parties and whisky retailers.This 2006 bottling of 1976 vintage was for La Grande Epicerie, Paris. The cask yielded 243 bottles."
